Family_name;Number_of_sequences
CLU_065200_1_1; 3
CLU_065464_0_0; 218
CLU_065536_1_0; 6
CLU_065681_1_2; 78
CLU_065737_0_0; 34
CLU_065898_0_1; 220
CLU_065901_2_1; 110
CLU_065902_3_1; 29
CLU_066040_0_0; 197
CLU_067069_2_0; 171
CLU_067096_2_0; 120
CLU_067135_1_1; 118
CLU_067743_0_0; 35
CLU_067890_0_1; 3
CLU_068199_2_1; 3
CLU_068443_2_1; 57
CLU_068457_0_1; 89
CLU_068608_0_0; 92
CLU_068610_0_0; 159
CLU_068659_0_0; 83
CLU_069350_1_0; 117
CLU_069356_1_4; 4
CLU_069356_15_3; 108
CLU_069532_0_2; 99
CLU_069532_4_1; 104
CLU_069533_0_0; 217
CLU_069674_2_0; 200
CLU_069755_0_0; 32
CLU_070025_2_1; 7
CLU_070213_0_0; 209
CLU_070251_1_1; 55
CLU_070326_0_0; 36
CLU_071415_3_3; 83
CLU_071479_0_0; 40
CLU_071479_3_1; 114
CLU_071520_1_0; 129
CLU_071768_0_0; 26
CLU_071769_0_0; 153
CLU_071894_1_0; 218
CLU_071987_0_0; 34
CLU_072439_6_1; 203
CLU_072493_0_2; 27
CLU_073198_1_0; 49
CLU_073198_1_2; 99
CLU_073526_1_0; 88
CLU_073626_0_3; 205
CLU_073661_2_2; 222
CLU_074237_4_0; 218
CLU_074390_5_0; 71
CLU_074702_1_0; 176
CLU_075000_0_0; 151
CLU_075000_1_0; 177
CLU_075477_0_0; 86
CLU_076014_2_1; 42
CLU_076278_0_0; 63
CLU_076364_2_1; 96
CLU_076368_1_1; 116
CLU_076569_2_0; 122
CLU_076582_0_0; 35
CLU_076812_0_0; 110
CLU_076814_1_0; 193
CLU_076902_11_0; 60
CLU_076902_11_1; 217
CLU_076902_11_3; 64
CLU_076922_1_0; 222
CLU_077358_2_3; 150
CLU_077537_3_0; 83
CLU_077589_0_0; 19
CLU_077738_2_2; 4
CLU_077867_0_0; 82
CLU_078481_0_0; 32
CLU_078701_0_0; 204
CLU_079096_0_1; 149
CLU_079140_3_1; 92
