Family_name;Number_of_sequences
CLU_000445_44_8; 204
CLU_000445_50_0; 104
CLU_000445_50_1; 653
CLU_000445_50_5; 122
CLU_000445_5_0; 3879
CLU_000445_51_0; 4826
CLU_000445_5_1; 4872
CLU_000445_52_0; 3562
CLU_000445_52_5; 5067
CLU_000445_59_0; 10372
CLU_000445_69_11; 918
CLU_000445_69_12; 3851
CLU_000445_69_15; 2591
CLU_000445_69_17; 7561
CLU_000445_69_6; 1441
CLU_000445_69_8; 4358
CLU_000445_70_20; 4845
CLU_000445_70_2; 775
CLU_000445_70_33; 1456
CLU_000445_70_34; 841
CLU_000445_70_36; 103
CLU_000445_70_49; 2894
CLU_000445_70_50; 13884
CLU_000445_72_3; 2587
CLU_000445_72_5; 923
CLU_000445_74_0; 111
CLU_000445_81_11; 3411
CLU_000445_81_14; 5591
CLU_000445_81_1; 10233
CLU_000445_8_12; 3776
CLU_000445_82_2; 17
CLU_000445_8_2; 2402
CLU_000445_8_5; 2304
CLU_000445_88_6; 8333
CLU_000445_89_17; 60
CLU_000445_89_27; 11202
CLU_000445_89_28; 183
CLU_000445_89_2; 20579
CLU_000445_89_37; 8974
CLU_000445_89_6; 36176
CLU_000445_90_10; 25737
CLU_000445_90_1; 19640
CLU_000445_90_4; 3269
CLU_000445_90_7; 2090
CLU_000445_90_8; 7108
CLU_000445_92_10; 2403
CLU_000445_92_13; 593
CLU_000445_94_2; 2198
CLU_000445_95_1; 627
CLU_000445_95_2; 563
CLU_000513_1_0; 6616
CLU_000524_3_1; 8533
CLU_000524_4_1; 7746
CLU_000524_4_3; 2113
CLU_000537_7_4; 1037
CLU_000552_0_0; 77
CLU_000604_1_11; 54783
CLU_000604_1_1; 57327
CLU_000604_1_22; 188341
CLU_000604_1_23; 72241
CLU_000604_1_2; 120475
CLU_000604_1_3; 15164
CLU_000604_36_0; 42210
CLU_000604_48_1; 10397
CLU_000604_78_2; 2258
CLU_000604_84_1; 1031
CLU_000604_84_3; 44571
CLU_000604_95_6; 3700
CLU_000631_10_0; 1712
CLU_000631_10_2; 74
CLU_000631_7_2; 1389
CLU_000631_7_3; 1074
CLU_000650_3_6; 3950
CLU_000688_16_2; 10627
CLU_000698_0_0; 12
CLU_000723_0_0; 1160
CLU_000907_1_3; 6208
CLU_000957_0_0; 82
CLU_000965_1_0; 1912
CLU_000977_4_0; 7
CLU_000980_0_0; 7283
CLU_000980_3_0; 302
CLU_001031_0_2; 3187
CLU_001074_1_0; 117
CLU_001103_14_3; 8333
CLU_001105_0_0; 96
CLU_001114_6_0; 2506
CLU_001200_2_0; 23
CLU_001201_0_1; 5044
CLU_001201_0_2; 4573
CLU_001201_0_4; 127
CLU_001265_10_0; 3001
CLU_001265_30_5; 8358
CLU_001265_31_0; 15533
CLU_001265_39_0; 14318
