Family_name;Number_of_sequences
CLU_001436_1_0; 13
CLU_001436_1_1; 234
CLU_001436_2_0; 294
CLU_001442_0_0; 110
CLU_001442_0_1; 105
CLU_001442_6_1; 50
CLU_001448_3_2; 83
CLU_001449_0_0; 5
CLU_001477_0_1; 236
CLU_001477_1_0; 76
CLU_001483_1_0; 69
CLU_001485_10_0; 123
CLU_001485_10_1; 41
CLU_001485_11_1; 226
CLU_001485_12_4; 298
CLU_001485_12_6; 103
CLU_001485_13_0; 119
CLU_001485_14_0; 52
CLU_001485_15_0; 45
CLU_001485_16_2; 88
CLU_001485_19_1; 263
CLU_001485_21_5; 101
CLU_001485_22_3; 125
CLU_001485_22_4; 225
CLU_001485_2_3; 379
CLU_001485_27_1; 56
CLU_001485_29_2; 169
CLU_001485_3_1; 145
CLU_001485_33_2; 294
CLU_001485_33_4; 113
CLU_001485_35_0; 66
CLU_001485_4_1; 105
CLU_001485_4_5; 139
CLU_001499_0_0; 47
CLU_001499_0_3; 57
CLU_001499_0_4; 179
CLU_001499_1_1; 31
CLU_001499_4_0; 95
CLU_001517_2_0; 413
CLU_001519_0_0; 22
CLU_001519_2_0; 126
CLU_001519_3_0; 112
CLU_001524_2_2; 123
CLU_001528_3_3; 181
CLU_001528_6_0; 272
CLU_001538_1_0; 76
CLU_001541_0_0; 38
CLU_001541_1_0; 9
CLU_001541_2_0; 78
CLU_001547_1_0; 69
CLU_001560_1_0; 227
CLU_001561_0_1; 251
CLU_001561_0_3; 94
CLU_001561_3_3; 177
CLU_001570_15_0; 789
CLU_001570_16_0; 194
CLU_001570_16_2; 9
CLU_001570_17_3; 845
CLU_001570_17_6; 544
CLU_001570_17_7; 112
CLU_001570_22_0; 1366
CLU_001570_22_2; 274
CLU_001570_22_3; 1058
CLU_001570_28_1; 57
CLU_001570_28_3; 232
CLU_001570_28_4; 116
CLU_001570_5_1; 1777
CLU_001570_5_2; 1665
CLU_001581_0_1; 7
CLU_001581_1_2; 303
CLU_001582_1_0; 51
CLU_001606_0_0; 65
CLU_001613_7_1; 131
CLU_001618_3_0; 37
CLU_001626_1_0; 90
CLU_001634_0_1; 224
CLU_001634_4_0; 162
CLU_001634_4_1; 40
CLU_001634_4_2; 57
CLU_001645_0_0; 58
CLU_001645_0_1; 76
CLU_001645_0_2; 140
CLU_001645_10_0; 64
CLU_001645_10_2; 49
CLU_001645_10_3; 62
CLU_001645_2_1; 42
CLU_001645_4_0; 38
CLU_001645_4_1; 41
CLU_001645_4_2; 130
CLU_001645_4_3; 51
CLU_001645_7_0; 160
CLU_001645_7_1; 25
CLU_001645_8_0; 246
CLU_001645_8_2; 69
CLU_001645_9_0; 174
CLU_001645_9_10; 206
CLU_001645_9_1; 251
CLU_001663_0_0; 49
CLU_001666_2_0; 143
CLU_001666_2_1; 253
CLU_001666_4_1; 103
CLU_001666_4_3; 156
CLU_001666_5_0; 63
CLU_001680_0_1; 355
CLU_001681_1_2; 620
CLU_001688_0_0; 78
CLU_001696_0_1; 384
CLU_001710_0_0; 23
CLU_001710_0_1; 125
CLU_001715_0_2; 167
CLU_001715_0_4; 77
CLU_001715_4_1; 57
CLU_001715_4_2; 250
CLU_001715_5_0; 254
CLU_001715_5_1; 296
CLU_001715_5_3; 90
CLU_001715_5_4; 102
CLU_001718_0_0; 127
CLU_001718_1_0; 343
CLU_001721_1_0; 121
CLU_001722_0_0; 15
CLU_001724_0_0; 928
CLU_001724_0_1; 656
CLU_001724_0_2; 340
CLU_001724_3_2; 804
CLU_001726_1_1; 96
CLU_001727_1_0; 175
CLU_001732_0_0; 36
CLU_001734_0_1; 120
CLU_001753_0_0; 54
CLU_001753_1_0; 66
CLU_001771_0_1; 564
CLU_001771_0_3; 153
CLU_001771_3_1; 20
CLU_001776_0_0; 65
CLU_001778_0_0; 14
CLU_001780_0_0; 67
CLU_001780_1_0; 58
CLU_001785_0_0; 13
CLU_001785_1_0; 116
CLU_001799_3_0; 153
CLU_001801_2_0; 158
CLU_001805_2_0; 66
CLU_001805_3_2; 7
CLU_001805_4_1; 111
CLU_001824_1_0; 21
CLU_001824_2_0; 86
CLU_001831_2_0; 276
CLU_001832_1_2; 168
CLU_001832_1_4; 347
CLU_001832_1_6; 125
CLU_001832_2_1; 122
CLU_001832_2_3; 160
CLU_001832_5_11; 1841
CLU_001832_6_3; 70
CLU_001832_7_2; 133
CLU_001839_3_2; 167
CLU_001839_4_1; 244
CLU_001842_1_0; 62
CLU_001859_1_0; 931
CLU_001875_1_0; 142
CLU_001878_2_2; 62
CLU_001882_0_2; 49
CLU_001882_1_2; 530
CLU_001882_2_3; 608
CLU_001882_4_1; 489
CLU_001882_4_2; 71
